AWB_Number,Date,Origin_Pincode,Dest_Pincode,Billed_Weight_Kg,Zone,Forward_Charge,RTO_Charge,COD_Amount,COD_Fee,Fuel_Surcharge,ODA_Charge,Docket_Charge,Handling_Charge,Total
BLU202400001,2024-03-04,380001,400001,1.5,A,80.0,0.0,0,0.0,0,0,15,0,95.0
BLU202400002,2024-03-23,110001,400001,2.0,B,108.0,0.0,1499,30.0,0,0,15,0,153.0
BLU202400003,2024-03-19,400001,560001,0.75,B,74.0,0.0,499,30.0,0,0,15,0,119.0
BLU202400004,2024-03-11,560001,600001,1.2,B,91.0,0.0,0,0.0,0,0,15,0,106.0
BLU202400005,2024-03-24,110001,302001,1.2,A,80.0,0.0,0,0.0,0,0,15,0,95.0
BLU202400006,2024-03-06,110001,400001,1.0,B,74.0,0.0,0,0.0,0,0,15,0,89.0
BLU202400007,2024-03-25,110001,400001,2.0,B,108.0,0.0,499,30.0,0,0,15,0,153.0
BLU202400008,2024-03-03,700001,500001,1.0,C,86.0,0.0,499,30.0,0,0,15,0,131.0
BLU202400009,2024-03-17,560001,600001,0.45,B,62.0,0.0,0,0.0,0,0,15,0,77.0
BLU202400010,2024-03-12,411001,400001,0.2,A,55.0,0.0,0,0.0,0,0,15,0,70.0
BLU202400011,2024-03-18,380001,400001,2.0,A,95.0,0.0,799,30.0,0,0,15,0,140.0
BLU202400012,2024-03-05,700001,500001,2.0,C,126.0,0.0,799,30.0,0,0,15,0,171.0
BLU202400013,2024-03-21,700001,500001,0.3,C,72.0,0.0,799,30.0,0,0,15,0,117.0
BLU202400014,2024-03-17,411001,400001,2.0,A,95.0,0.0,799,30.0,0,0,15,0,140.0
BLU202400015,2024-03-14,700001,500001,1.8,C,126.0,0.0,499,30.0,0,0,15,0,171.0
BLU202400016,2024-03-18,400001,560001,1.2,B,91.0,0.0,0,0.0,0,0,15,0,106.0
BLU202400017,2024-03-19,110001,400001,1.2,B,91.0,0.0,0,0.0,0,0,15,0,106.0
BLU202400018,2024-03-23,380001,400001,0.5,A,55.0,0.0,799,30.0,0,0,15,0,100.0
BLU202400019,2024-03-23,700001,500001,0.72,C,86.0,0.0,999,30.0,0,0,15,0,131.0
BLU202400020,2024-03-10,700001,500001,0.3,C,72.0,0.0,0,0.0,0,0,15,0,87.0
BLU202400021,2024-03-05,411001,400001,0.75,A,65.0,0.0,0,0.0,0,0,15,0,80.0
BLU202400022,2024-03-11,400001,560001,0.9,B,74.0,0.0,999,30.0,0,0,15,0,119.0
BLU202400023,2024-03-27,110001,400001,0.9,B,74.0,0.0,0,0.0,0,0,15,0,89.0
BLU202400024,2024-03-22,400001,110001,1.5,B,91.0,0.0,0,0.0,0,0,15,0,106.0
BLU202400025,2024-03-08,411001,400001,0.75,A,65.0,0.0,799,30.0,0,0,15,0,110.0
BLU202400026,2024-03-25,700001,500001,2.0,C,126.0,0.0,499,30.0,0,0,15,0,171.0
BLU202400027,2024-03-20,110001,400001,0.75,B,74.0,0.0,1499,30.0,0,0,15,0,119.0
BLU202400028,2024-03-04,411001,400001,1.2,A,80.0,0.0,799,30.0,0,0,15,0,125.0
BLU202400029,2024-03-15,400001,560001,0.9,B,74.0,0.0,0,0.0,0,0,15,0,89.0
BLU202400030,2024-03-15,400001,560001,0.75,E,120.0,0.0,1499,30.0,0,0,15,0,165.0
BLU202400031,2024-03-12,400001,110001,1.5,B,91.0,0.0,799,30.0,0,0,15,0,136.0
BLU202400032,2024-03-11,700001,500001,0.75,C,86.0,0.0,0,0.0,0,0,15,0,101.0
BLU202400033,2024-03-27,110001,400001,0.75,B,74.0,0.0,0,0.0,0,0,15,0,89.0
BLU202400034,2024-03-01,411001,400001,0.32,A,55.0,0.0,0,0.0,0,0,15,0,70.0
BLU202400035,2024-03-10,380001,400001,0.3,A,55.0,0.0,1499,30.0,0,0,15,0,100.0
