AWB_Number,Date,Actual_Weight_Kg,Length_cm,Width_cm,Height_cm,Dim_Weight_Kg
BLU202400001,2024-03-04,1.5,25,8,10,0.4
BLU202400002,2024-03-23,2.0,20,8,15,0.48
BLU202400003,2024-03-19,0.75,25,8,15,0.6
BLU202400004,2024-03-11,1.2,15,8,5,0.12
BLU202400005,2024-03-24,1.2,15,10,5,0.15
BLU202400006,2024-03-06,1.0,30,10,5,0.3
BLU202400007,2024-03-25,2.0,30,20,10,1.2
BLU202400008,2024-03-03,0.5,25,20,10,1.0
BLU202400009,2024-03-17,0.2,10,15,15,0.45
BLU202400010,2024-03-12,0.2,20,8,5,0.16
BLU202400011,2024-03-18,2.0,10,20,8,0.32
BLU202400012,2024-03-05,2.0,10,20,5,0.2
BLU202400013,2024-03-21,0.3,15,8,8,0.19
BLU202400014,2024-03-17,2.0,30,10,10,0.6
BLU202400015,2024-03-14,1.0,20,8,10,0.32
BLU202400016,2024-03-18,1.2,25,15,10,0.75
BLU202400017,2024-03-19,1.2,15,15,10,0.45
BLU202400018,2024-03-23,0.5,10,15,15,0.45
BLU202400019,2024-03-23,0.5,30,8,15,0.72
BLU202400020,2024-03-10,0.2,15,10,10,0.3
BLU202400021,2024-03-05,0.75,15,8,10,0.24
BLU202400022,2024-03-11,0.2,30,10,15,0.9
BLU202400023,2024-03-27,0.5,30,10,15,0.9
BLU202400024,2024-03-22,1.5,15,20,10,0.6
BLU202400025,2024-03-08,0.75,20,20,8,0.64
BLU202400026,2024-03-25,2.0,20,20,15,1.2
BLU202400027,2024-03-20,0.75,15,15,5,0.23
BLU202400028,2024-03-04,1.2,30,8,10,0.48
BLU202400029,2024-03-15,0.5,30,10,15,0.9
BLU202400030,2024-03-15,0.75,20,8,15,0.48
BLU202400031,2024-03-12,1.5,15,20,5,0.3
BLU202400032,2024-03-11,0.75,10,15,8,0.24
BLU202400033,2024-03-27,0.2,25,10,15,0.75
BLU202400034,2024-03-01,0.2,20,10,8,0.32
BLU202400035,2024-03-10,0.3,15,15,5,0.23
BLU202400036,2024-03-21,0.75,30,20,5,0.6
BLU202400037,2024-03-18,2.0,10,10,8,0.16
BLU202400038,2024-03-20,1.5,20,10,15,0.6
BLU202400039,2024-03-12,0.3,10,8,15,0.24
BLU202400040,2024-03-13,0.2,20,15,5,0.3
BLU202400041,2024-03-08,0.3,10,15,8,0.24
BLU202400042,2024-03-11,1.2,15,20,15,0.9
BLU202400043,2024-03-23,0.5,25,8,10,0.4
BLU202400044,2024-03-07,0.2,10,15,10,0.3
BLU202400045,2024-03-02,2.0,15,15,10,0.45
BLU202400046,2024-03-04,1.2,20,20,15,1.2
BLU202400047,2024-03-06,1.5,25,20,10,1.0
BLU202400048,2024-03-14,0.3,10,20,8,0.32
BLU202400049,2024-03-03,1.2,20,15,10,0.6
BLU202400050,2024-03-23,1.5,25,15,15,1.12
BLU202400051,2024-03-14,1.2,20,8,5,0.16
BLU202400052,2024-03-26,1.2,15,8,8,0.19
BLU202400053,2024-03-03,0.2,15,15,10,0.45
BLU202400054,2024-03-05,0.2,25,15,10,0.75
BLU202400055,2024-03-05,0.3,30,15,15,1.35
BLU202400056,2024-03-04,1.0,10,10,15,0.3
BLU202400057,2024-03-25,0.3,20,20,8,0.64
BLU202400058,2024-03-04,2.0,15,8,15,0.36
BLU202400059,2024-03-26,2.0,20,15,5,0.3
BLU202400060,2024-03-06,1.0,15,15,8,0.36
BLU202400061,2024-03-05,0.75,15,20,5,0.3
BLU202400062,2024-03-26,1.2,30,10,5,0.3
BLU202400062,2024-03-23,1.0,25,20,15,1.5
BLU202400064,2024-03-21,0.5,10,20,15,0.6
BLU202400065,2024-03-25,0.5,30,10,8,0.48
BLU202400066,2024-03-04,0.2,30,10,10,0.6
BLU202400067,2024-03-23,0.5,15,15,10,0.45
BLU202400068,2024-03-21,1.0,30,15,8,0.72
BLU202400069,2024-03-21,0.3,15,10,8,0.24
BLU202400070,2024-03-28,0.2,10,8,5,0.08
BLU202400071,2024-03-19,0.75,25,8,15,0.6
BLU202400072,2024-03-08,1.0,25,15,15,1.12
BLU202400073,2024-03-15,0.2,25,20,15,1.5
BLU202400074,2024-03-05,1.2,20,15,10,0.6
BLU202400075,2024-03-12,0.5,30,8,10,0.48
BLU202400076,2024-03-09,2.0,25,10,8,0.4
BLU202400077,2024-03-13,0.2,30,20,8,0.96
BLU202400078,2024-03-24,1.2,20,10,8,0.32
BLU202400079,2024-03-10,2.0,25,8,5,0.2
BLU202400080,2024-03-07,2.0,30,15,5,0.45
BLU202400081,2024-03-20,1.0,25,15,5,0.38
BLU202400082,2024-03-09,1.5,20,20,10,0.8
BLU202400083,2024-03-19,1.5,30,10,10,0.6
BLU202400084,2024-03-17,0.3,25,15,5,0.38
BLU202400085,2024-03-12,0.3,20,15,8,0.48
BLU202400086,2024-03-02,1.5,10,8,8,0.13
BLU202400087,2024-03-15,2.0,15,10,10,0.3
BLU202400088,2024-03-20,0.5,20,15,15,0.9
BLU202400089,2024-03-01,2.0,20,15,5,0.3
BLU202400090,2024-03-24,1.0,10,20,10,0.4
BLU202400091,2024-03-16,0.2,15,20,8,0.48
BLU202400092,2024-03-23,0.2,10,10,5,0.1
BLU202400093,2024-03-05,1.2,25,10,15,0.75
BLU202400094,2024-03-05,0.2,30,10,10,0.6
BLU202400095,2024-03-06,1.5,25,15,10,0.75
