AWB_Number,Date,Origin_Pincode,Dest_Pincode,Billed_Weight_Kg,Zone,Forward_Charge,RTO_Charge,COD_Amount,COD_Fee,Fuel_Surcharge,ODA_Charge,Docket_Charge,Handling_Charge,Total
ECO202400001,2024-03-04,380001,400001,1.5,A,48.0,0.0,799,22,0,0,15,0,85.0
ECO202400002,2024-03-19,110001,400001,1.0,B,44.0,0.0,799,22,0,0,15,0,81.0
ECO202400003,2024-03-04,400001,560001,0.75,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400004,2024-03-05,380001,400001,1.5,A,48.0,0.0,799,22,0,0,15,0,85.0
ECO202400005,2024-03-18,110001,400001,2.0,B,64.0,0.0,999,22,0,0,15,0,101.0
ECO202400006,2024-03-11,560001,600001,0.5,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400007,2024-03-07,400001,110001,2.0,B,64.0,0.0,0,0,0,0,15,0,79.0
ECO202400008,2024-03-27,411001,400001,1.5,A,48.0,0.0,999,22,0,0,15,0,85.0
ECO202400009,2024-03-25,400001,560001,0.2,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400010,2024-03-10,560001,600001,0.75,B,44.0,0.0,799,22,0,0,15,0,81.0
ECO202400011,2024-03-25,400001,560001,0.3,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400012,2024-03-04,411001,400001,0.75,A,39.0,0.0,499,22,0,0,15,0,76.0
ECO202400013,2024-03-28,411001,400001,1.0,A,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400014,2024-03-24,110001,302001,0.75,A,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400015,2024-03-07,110001,400001,1.3,B,54.0,0.0,1499,22,0,0,15,0,91.0
ECO202400016,2024-03-23,560001,600001,0.5,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400017,2024-03-26,400001,560001,0.5,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400018,2024-03-05,110001,400001,0.5,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400019,2024-03-21,411001,400001,0.5,A,35.0,0.0,799,22,0,0,15,0,72.0
ECO202400020,2024-03-26,411001,400001,0.3,A,35.0,0.0,999,22,0,0,15,0,72.0
ECO202400021,2024-03-11,700001,500001,2.0,C,74.0,0.0,499,22,0,0,15,0,111.0
ECO202400022,2024-03-03,411001,400001,1.2,A,48.0,0.0,1499,22,0,0,15,0,85.0
ECO202400023,2024-03-09,380001,400001,0.75,A,39.0,0.0,499,22,0,0,15,0,76.0
ECO202400024,2024-03-11,110001,400001,2.0,B,64.0,0.0,1499,22,0,0,15,0,101.0
ECO202400025,2024-03-28,411001,400001,0.2,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400026,2024-03-23,400001,110001,1.5,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400027,2024-03-12,560001,600001,0.3,B,39.0,0.0,999,22,0,0,15,0,76.0
ECO202400028,2024-03-21,110001,400001,0.2,B,39.0,0.0,499,22,0,0,15,0,76.0
ECO202400029,2024-03-07,400001,560001,0.3,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400030,2024-03-01,110001,302001,2.0,E,104.0,0.0,0,0,0,0,15,0,119.0
ECO202400031,2024-03-08,110001,400001,2.0,B,64.0,0.0,0,0,0,0,15,0,79.0
ECO202400032,2024-03-10,400001,560001,1.2,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400033,2024-03-19,110001,400001,0.3,B,39.0,0.0,799,22,0,0,15,0,76.0
ECO202400034,2024-03-24,700001,500001,0.75,C,50.0,0.0,999,22,0,0,15,0,87.0
ECO202400035,2024-03-05,110001,302001,0.3,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400036,2024-03-05,380001,400001,1.2,A,48.0,0.0,1499,22,0,0,15,0,85.0
ECO202400037,2024-03-23,110001,302001,1.0,A,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400038,2024-03-21,110001,302001,1.5,A,48.0,0.0,0,0,0,0,15,0,63.0
ECO202400039,2024-03-16,380001,400001,0.3,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400040,2024-03-13,700001,500001,1.2,C,62.0,0.0,0,0,0,0,15,0,77.0
ECO202400041,2024-03-03,110001,400001,2.0,B,64.0,0.0,1499,22,0,0,15,0,101.0
ECO202400042,2024-03-02,560001,600001,0.75,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400043,2024-03-21,380001,400001,1.5,A,48.0,0.0,0,0,0,0,15,0,63.0
ECO202400044,2024-03-17,400001,560001,1.0,B,44.0,0.0,0,0,0,0,15,0,59.0
ECO202400045,2024-03-23,380001,400001,0.3,A,35.0,0.0,0,0,0,0,15,0,50.0
ECO202400046,2024-03-04,110001,302001,0.3,A,35.0,0.0,499,22,0,0,15,0,72.0
ECO202400047,2024-03-23,110001,400001,0.3,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400048,2024-03-17,411001,400001,1.2,A,91.2,0.0,799,22,0,0,15,0,128.2
ECO202400049,2024-03-04,110001,400001,1.0,B,44.0,0.0,999,22,0,0,15,0,81.0
ECO202400050,2024-03-23,560001,600001,0.3,B,39.0,0.0,0,0,0,0,15,0,54.0
ECO202400051,2024-03-16,411001,400001,1.2,A,48.0,0.0,0,0,0,0,15,0,63.0
ECO202400052,2024-03-04,110001,400001,1.0,B,44.0,0.0,1499,22,0,0,15,0,81.0
ECO202400053,2024-03-28,400001,110001,0.2,B,39.0,0.0,1499,22,0,0,15,0,76.0
ECO202400054,2024-03-05,411001,400001,1.2,A,48.0,0.0,499,22,0,0,15,0,85.0
ECO202400055,2024-03-14,110001,302001,1.2,A,48.0,0.0,0,0,0,0,15,0,63.0
ECO202400056,2024-03-22,700001,500001,0.3,C,44.0,0.0,799,22,0,0,15,0,81.0
ECO202400057,2024-03-15,400001,110001,1.5,B,54.0,0.0,0,0,0,0,15,0,69.0
ECO202400058,2024-03-12,400001,560001,2.0,B,64.0,0.0,0,0,0,0,15,0,79.0
ECO202400059,2024-03-19,110001,302001,2.0,A,57.0,0.0,0,0,0,0,15,0,72.0
ECO202400060,2024-03-01,110001,400001,0.2,B,39.0,0.0,499,22,0,0,15,0,76.0
ECO202400061,2024-03-22,700001,500001,0.2,C,44.0,0.0,1499,22,0,0,15,0,81.0
ECO202400062,2024-03-16,110001,302001,0.75,A,39.0,0.0,499,22,0,0,15,0,76.0
ECO202400062,2024-03-28,400001,560001,0.2,B,39.0,0.0,0,0,0,0,15,0,54.0
