AWB_Number,Date,Actual_Weight_Kg,Length_cm,Width_cm,Height_cm,Dim_Weight_Kg
ECO202400001,2024-03-04,1.5,20,15,15,0.9
ECO202400002,2024-03-19,1.0,10,10,10,0.2
ECO202400003,2024-03-04,0.75,15,15,8,0.36
ECO202400004,2024-03-05,1.5,30,20,15,1.8
ECO202400005,2024-03-18,2.0,15,10,15,0.45
ECO202400006,2024-03-11,0.5,25,8,10,0.4
ECO202400007,2024-03-07,2.0,25,20,15,1.5
ECO202400008,2024-03-27,1.5,25,20,8,0.8
ECO202400009,2024-03-25,0.2,15,15,5,0.23
ECO202400010,2024-03-10,0.75,15,20,15,0.9
ECO202400011,2024-03-25,0.3,30,15,5,0.45
ECO202400012,2024-03-04,0.75,15,15,5,0.23
ECO202400013,2024-03-28,1.0,10,20,5,0.2
ECO202400014,2024-03-24,0.75,30,15,15,1.35
ECO202400015,2024-03-07,0.5,15,8,10,0.24
ECO202400016,2024-03-23,0.5,20,15,10,0.6
ECO202400017,2024-03-26,0.5,25,8,10,0.4
ECO202400018,2024-03-05,0.5,20,10,15,0.6
ECO202400019,2024-03-21,0.5,20,20,15,1.2
ECO202400020,2024-03-26,0.3,10,20,10,0.4
ECO202400021,2024-03-11,2.0,30,8,5,0.24
ECO202400022,2024-03-03,1.2,30,20,8,0.96
ECO202400023,2024-03-09,0.75,20,15,10,0.6
ECO202400024,2024-03-11,2.0,10,8,5,0.08
ECO202400025,2024-03-28,0.2,15,20,15,0.9
ECO202400026,2024-03-23,1.5,15,15,8,0.36
ECO202400027,2024-03-12,0.3,20,8,10,0.32
ECO202400028,2024-03-21,0.2,20,10,15,0.6
ECO202400029,2024-03-07,0.3,25,8,8,0.32
ECO202400030,2024-03-01,2.0,20,8,15,0.48
ECO202400031,2024-03-08,2.0,25,8,5,0.2
ECO202400032,2024-03-10,1.2,15,20,8,0.48
ECO202400033,2024-03-19,0.3,10,10,15,0.3
ECO202400034,2024-03-24,0.75,15,20,15,0.9
ECO202400035,2024-03-05,0.3,10,20,10,0.4
ECO202400036,2024-03-05,1.2,15,15,5,0.23
ECO202400037,2024-03-23,1.0,10,15,8,0.24
ECO202400038,2024-03-21,1.5,10,10,15,0.3
ECO202400039,2024-03-16,0.3,30,8,5,0.24
ECO202400040,2024-03-13,1.2,30,20,10,1.2
ECO202400041,2024-03-03,2.0,10,8,5,0.08
ECO202400042,2024-03-02,0.75,25,15,15,1.12
ECO202400043,2024-03-21,1.5,30,10,10,0.6
ECO202400044,2024-03-17,1.0,15,10,10,0.3
ECO202400045,2024-03-23,0.3,25,10,5,0.25
ECO202400046,2024-03-04,0.3,25,8,10,0.4
ECO202400047,2024-03-23,0.3,15,8,8,0.19
ECO202400048,2024-03-17,1.2,20,10,10,0.4
ECO202400049,2024-03-04,1.0,10,15,15,0.45
ECO202400050,2024-03-23,0.3,30,8,15,0.72
ECO202400051,2024-03-16,1.2,30,10,10,0.6
ECO202400052,2024-03-04,1.0,30,8,8,0.38
ECO202400053,2024-03-28,0.2,10,10,5,0.1
ECO202400054,2024-03-05,1.2,15,8,15,0.36
ECO202400055,2024-03-14,1.2,20,15,5,0.3
ECO202400056,2024-03-22,0.3,10,10,8,0.16
ECO202400057,2024-03-15,1.5,20,15,10,0.6
ECO202400058,2024-03-12,2.0,15,15,10,0.45
ECO202400059,2024-03-19,2.0,25,10,8,0.4
ECO202400060,2024-03-01,0.2,15,15,5,0.23
ECO202400061,2024-03-22,0.2,25,15,5,0.38
ECO202400062,2024-03-16,0.75,10,10,10,0.2
ECO202400062,2024-03-28,0.2,30,20,10,1.2
ECO202400064,2024-03-04,0.3,30,10,15,0.9
ECO202400065,2024-03-22,0.2,15,10,10,0.3
ECO202400066,2024-03-13,1.2,20,15,15,0.9
ECO202400067,2024-03-07,0.75,15,8,8,0.19
ECO202400068,2024-03-15,0.5,20,20,5,0.4
ECO202400069,2024-03-10,0.75,25,15,5,0.38
ECO202400070,2024-03-22,0.5,20,8,8,0.26
ECO202400071,2024-03-23,0.5,15,15,15,0.68
ECO202400072,2024-03-27,1.0,15,8,15,0.36
ECO202400073,2024-03-15,0.75,10,10,5,0.1
ECO202400074,2024-03-25,0.2,15,10,8,0.24
ECO202400075,2024-03-21,1.2,10,15,5,0.15
ECO202400076,2024-03-21,0.3,25,10,5,0.25
ECO202400077,2024-03-15,0.3,10,10,15,0.3
ECO202400078,2024-03-13,2.0,25,10,10,0.5
ECO202400079,2024-03-09,0.5,25,10,5,0.25
ECO202400080,2024-03-14,1.0,30,20,5,0.6
ECO202400081,2024-03-05,1.0,25,10,8,0.4
ECO202400082,2024-03-23,1.5,20,20,15,1.2
ECO202400083,2024-03-09,1.2,15,8,10,0.24
ECO202400084,2024-03-25,0.2,20,8,15,0.48
ECO202400085,2024-03-04,0.75,15,10,10,0.3
ECO202400086,2024-03-28,0.75,25,15,8,0.6
ECO202400087,2024-03-11,0.75,20,8,10,0.32
ECO202400088,2024-03-26,0.75,25,15,8,0.6
ECO202400089,2024-03-02,0.2,15,10,5,0.15
ECO202400090,2024-03-20,0.2,15,10,10,0.3
ECO202400091,2024-03-01,1.2,15,10,5,0.15
ECO202400092,2024-03-23,0.3,25,8,10,0.4
ECO202400093,2024-03-06,1.2,25,20,10,1.0
ECO202400094,2024-03-22,1.2,30,10,15,0.9
ECO202400095,2024-03-06,1.0,10,20,5,0.2
ECO202400096,2024-03-20,1.2,15,8,15,0.36
ECO202400097,2024-03-03,1.2,15,15,10,0.45
ECO202400098,2024-03-23,0.3,20,20,5,0.4
ECO202400099,2024-03-23,0.75,10,15,10,0.3
ECO202400100,2024-03-13,0.2,25,20,8,0.8
ECO202400101,2024-03-12,2.0,30,20,5,0.6
ECO202400102,2024-03-15,0.75,10,8,10,0.16
ECO202400103,2024-03-04,1.2,10,15,8,0.24
ECO202400104,2024-03-03,0.5,30,8,10,0.48
ECO202400105,2024-03-21,0.2,15,20,8,0.48
ECO202400106,2024-03-07,0.3,15,20,10,0.6
ECO202400107,2024-03-04,1.0,10,20,15,0.6
ECO202400108,2024-03-01,0.2,25,8,10,0.4
ECO202400109,2024-03-01,0.75,15,10,10,0.3
ECO202400110,2024-03-04,2.0,20,20,15,1.2
ECO202400111,2024-03-21,1.0,30,20,8,0.96
ECO202400112,2024-03-06,1.5,25,8,10,0.4
ECO202400113,2024-03-08,2.0,20,8,8,0.26
ECO202400114,2024-03-12,0.3,30,20,8,0.96
ECO202400115,2024-03-17,1.5,25,20,8,0.8
ECO202400116,2024-03-13,1.0,10,10,5,0.1
ECO202400117,2024-03-07,0.5,15,10,5,0.15
ECO202400118,2024-03-14,0.3,15,10,10,0.3
ECO202400119,2024-03-13,0.3,30,20,10,1.2
ECO202400120,2024-03-01,2.0,30,20,5,0.6
ECO202400121,2024-03-19,0.5,30,8,5,0.24
ECO202400122,2024-03-18,1.0,20,20,10,0.8
ECO202400123,2024-03-20,2.0,25,8,8,0.32
ECO202400124,2024-03-20,1.5,30,20,5,0.6
ECO202400125,2024-03-08,1.2,10,20,10,0.4
ECO202400126,2024-03-27,0.2,20,15,10,0.6
ECO202400127,2024-03-08,0.3,15,15,15,0.68
ECO202400128,2024-03-14,1.0,30,8,8,0.38
ECO202400129,2024-03-14,0.75,25,15,5,0.38
ECO202400130,2024-03-23,0.3,30,20,8,0.96
ECO202400131,2024-03-27,0.5,15,8,8,0.19
ECO202400132,2024-03-12,2.0,15,15,10,0.45
ECO202400133,2024-03-04,1.5,10,10,10,0.2
ECO202400134,2024-03-28,2.0,25,15,10,0.75
ECO202400135,2024-03-27,1.0,10,15,5,0.15
ECO202400136,2024-03-28,0.2,30,10,8,0.48
ECO202400137,2024-03-21,0.75,25,8,5,0.2
ECO202400138,2024-03-06,0.5,30,8,8,0.38
ECO202400139,2024-03-23,1.0,20,20,15,1.2
ECO202400140,2024-03-07,2.0,25,15,15,1.12
ECO202400141,2024-03-22,0.2,20,15,10,0.6
ECO202400142,2024-03-11,2.0,20,15,10,0.6
ECO202400143,2024-03-05,1.0,30,10,5,0.3
ECO202400144,2024-03-05,1.2,10,20,10,0.4
ECO202400145,2024-03-13,1.5,10,10,10,0.2
ECO202400146,2024-03-12,2.0,30,15,8,0.72
ECO202400147,2024-03-16,1.0,15,15,8,0.36
ECO202400148,2024-03-12,0.3,15,15,15,0.68
ECO202400149,2024-03-19,1.2,20,20,5,0.4
ECO202400150,2024-03-21,0.2,30,8,15,0.72
ECO202400151,2024-03-22,0.3,25,15,15,1.12
ECO202400152,2024-03-07,0.5,20,20,15,1.2
ECO202400153,2024-03-23,1.2,15,8,15,0.36
ECO202400154,2024-03-21,0.5,10,8,15,0.24
ECO202400155,2024-03-25,0.75,15,10,15,0.45
ECO202400156,2024-03-14,0.5,25,20,15,1.5
ECO202400157,2024-03-02,1.5,30,10,10,0.6
ECO202400158,2024-03-27,1.2,30,10,5,0.3
ECO202400159,2024-03-23,0.75,20,15,8,0.48
ECO202400160,2024-03-19,1.5,20,10,5,0.2
ECO202400161,2024-03-15,1.0,30,15,15,1.35
ECO202400162,2024-03-12,1.2,15,10,15,0.45
ECO202400163,2024-03-24,0.75,15,10,5,0.15
ECO202400164,2024-03-23,0.3,10,20,10,0.4
ECO202400165,2024-03-04,0.2,10,8,5,0.08
ECO202400166,2024-03-04,2.0,30,15,15,1.35
ECO202400167,2024-03-22,0.75,10,15,15,0.45
ECO202400168,2024-03-20,1.0,15,20,5,0.3
ECO202400169,2024-03-26,1.0,10,20,8,0.32
ECO202400170,2024-03-17,1.0,15,15,15,0.68
ECO202400171,2024-03-18,0.5,25,10,15,0.75
ECO202400172,2024-03-01,0.75,10,8,15,0.24
ECO202400173,2024-03-17,0.3,10,8,10,0.16
ECO202400174,2024-03-09,2.0,25,8,5,0.2
ECO202400175,2024-03-10,0.2,20,15,15,0.9
ECO202400176,2024-03-25,0.3,10,8,8,0.13
ECO202400177,2024-03-15,1.2,30,15,5,0.45
ECO202400178,2024-03-04,1.2,25,20,15,1.5
ECO202400179,2024-03-28,1.5,25,20,8,0.8
ECO202400180,2024-03-24,0.5,10,10,5,0.1
ECO202400181,2024-03-19,2.0,25,10,15,0.75
ECO202400182,2024-03-22,0.2,15,20,15,0.9
ECO202400183,2024-03-02,1.5,10,15,10,0.3
ECO202400184,2024-03-28,0.75,20,8,15,0.48
ECO202400185,2024-03-22,2.0,25,10,5,0.25
ECO202400186,2024-03-28,0.5,25,20,8,0.8
ECO202400187,2024-03-08,2.0,20,15,5,0.3
ECO202400188,2024-03-27,1.5,15,8,15,0.36
ECO202400189,2024-03-28,2.0,25,20,10,1.0
ECO202400190,2024-03-21,2.0,10,8,15,0.24
ECO202400191,2024-03-18,0.2,10,8,10,0.16
ECO202400192,2024-03-12,2.0,10,10,15,0.3
ECO202400193,2024-03-22,2.0,20,20,5,0.4
ECO202400194,2024-03-11,0.75,20,15,10,0.6
ECO202400195,2024-03-16,0.2,15,20,5,0.3
ECO202400196,2024-03-04,0.75,25,10,15,0.75
ECO202400197,2024-03-25,1.2,25,8,5,0.2
ECO202400198,2024-03-19,2.0,30,10,15,0.9
ECO202400199,2024-03-14,0.2,30,20,8,0.96
ECO202400200,2024-03-13,0.5,30,15,15,1.35
