AWB_Number,Date,Origin_Pincode,Dest_Pincode,Billed_Weight_Kg,Zone,Forward_Charge,RTO_Charge,COD_Amount,COD_Fee,Fuel_Surcharge,ODA_Charge,Docket_Charge,Handling_Charge,Total
SHA202400001,2024-03-13,380001,400001,0.75,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400002,2024-03-20,110001,400001,0.5,B,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400003,2024-03-20,110001,302001,0.75,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400004,2024-03-04,110001,400001,1.2,B,50.0,0.0,999,20.0,0,0,15,0,85.0
SHA202400005,2024-03-01,560001,600001,1.5,B,50.0,0.0,1499,20.0,0,0,15,0,85.0
SHA202400006,2024-03-22,380001,400001,0.5,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400007,2024-03-09,110001,400001,1.0,B,41.0,0.0,999,20.0,0,0,15,0,76.0
SHA202400008,2024-03-27,110001,302001,0.2,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400009,2024-03-26,380001,400001,0.75,A,36.0,0.0,799,20.0,0,0,15,0,71.0
SHA202400010,2024-03-22,380001,400001,1.5,A,44.0,0.0,1499,20.0,0,0,15,0,79.0
SHA202400011,2024-03-28,560001,600001,0.75,B,41.0,0.0,799,20.0,0,0,15,0,76.0
SHA202400012,2024-03-15,110001,302001,0.75,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400013,2024-03-02,110001,400001,0.3,B,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400014,2024-03-28,110001,400001,0.5,B,36.0,0.0,799,20.0,0,0,15,0,71.0
SHA202400015,2024-03-05,411001,400001,1.3,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400016,2024-03-26,411001,400001,1.2,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400017,2024-03-18,400001,560001,0.5,B,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400018,2024-03-22,700001,500001,0.75,C,48.0,0.0,0,0.0,0,0,15,0,63.0
SHA202400019,2024-03-20,560001,600001,0.75,B,41.0,0.0,1499,20.0,0,0,15,0,76.0
SHA202400020,2024-03-08,400001,560001,1.2,B,50.0,0.0,499,20.0,0,0,15,0,85.0
SHA202400021,2024-03-04,700001,500001,1.5,C,59.0,0.0,1499,20.0,0,0,15,0,94.0
SHA202400022,2024-03-26,400001,110001,1.2,B,50.0,0.0,799,20.0,0,0,15,0,85.0
SHA202400023,2024-03-07,400001,110001,1.0,B,41.0,0.0,999,20.0,0,0,15,0,76.0
SHA202400024,2024-03-03,110001,400001,0.2,B,36.0,0.0,999,20.0,0,0,15,0,71.0
SHA202400025,2024-03-27,400001,560001,0.75,B,41.0,0.0,799,20.0,0,0,15,0,76.0
SHA202400026,2024-03-11,400001,110001,2.0,B,59.0,0.0,999,20.0,0,0,15,0,94.0
SHA202400027,2024-03-09,400001,110001,0.5,B,36.0,0.0,1499,20.0,0,0,15,0,71.0
SHA202400028,2024-03-15,560001,600001,1.5,B,50.0,0.0,499,20.0,0,0,15,0,85.0
SHA202400029,2024-03-04,400001,110001,1.5,B,50.0,0.0,999,20.0,0,0,15,0,85.0
SHA202400030,2024-03-17,400001,110001,0.3,E,60.0,0.0,0,0.0,0,0,15,0,75.0
SHA202400031,2024-03-15,400001,560001,1.0,B,41.0,0.0,1499,20.0,0,0,15,0,76.0
SHA202400032,2024-03-08,411001,400001,0.5,A,32.0,0.0,799,20.0,0,0,15,0,67.0
SHA202400033,2024-03-26,110001,400001,1.0,B,41.0,0.0,999,20.0,0,0,15,0,76.0
SHA202400034,2024-03-19,400001,560001,0.2,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400035,2024-03-24,560001,600001,0.75,B,41.0,0.0,999,20.0,0,0,15,0,76.0
SHA202400036,2024-03-08,110001,400001,0.5,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400037,2024-03-26,400001,560001,0.5,B,36.0,0.0,999,20.0,0,0,15,0,71.0
SHA202400038,2024-03-03,400001,560001,1.0,B,41.0,0.0,999,20.0,0,0,15,0,76.0
SHA202400039,2024-03-05,411001,400001,1.2,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400040,2024-03-16,400001,560001,0.75,B,41.0,0.0,0,0.0,0,0,15,0,56.0
SHA202400041,2024-03-11,110001,400001,1.2,B,50.0,0.0,1499,20.0,0,0,15,0,85.0
SHA202400042,2024-03-08,700001,500001,0.75,C,48.0,0.0,1499,20.0,0,0,15,0,83.0
SHA202400043,2024-03-15,110001,400001,1.2,B,50.0,0.0,499,20.0,0,0,15,0,85.0
SHA202400044,2024-03-21,411001,400001,0.3,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400045,2024-03-24,110001,400001,0.75,B,41.0,0.0,0,0.0,0,0,15,0,56.0
SHA202400046,2024-03-19,400001,110001,1.5,B,50.0,0.0,1499,20.0,0,0,15,0,85.0
SHA202400047,2024-03-13,411001,400001,0.5,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400048,2024-03-12,411001,400001,0.3,A,60.8,0.0,499,20.0,0,0,15,0,95.8
SHA202400049,2024-03-06,110001,400001,0.5,B,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400050,2024-03-25,700001,500001,0.2,C,42.0,0.0,0,0.0,0,0,15,0,57.0
SHA202400051,2024-03-02,560001,600001,1.2,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400052,2024-03-02,411001,400001,2.0,A,52.0,0.0,0,0.0,0,0,15,0,67.0
SHA202400053,2024-03-21,560001,600001,0.5,B,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400054,2024-03-17,560001,600001,1.5,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400055,2024-03-01,411001,400001,2.0,A,52.0,0.0,799,20.0,0,0,15,0,87.0
SHA202400056,2024-03-17,110001,400001,0.75,B,41.0,0.0,0,0.0,0,0,15,0,56.0
SHA202400057,2024-03-20,110001,400001,0.5,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400058,2024-03-22,700001,500001,0.3,C,42.0,0.0,499,20.0,0,0,15,0,77.0
SHA202400059,2024-03-08,110001,400001,1.5,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400060,2024-03-05,110001,400001,0.2,B,36.0,0.0,799,20.0,0,0,15,0,71.0
SHA202400061,2024-03-19,110001,400001,1.5,B,50.0,0.0,799,20.0,0,0,15,0,85.0
SHA202400062,2024-03-16,110001,302001,2.0,A,52.0,0.0,799,20.0,0,0,15,0,87.0
SHA202400062,2024-03-19,380001,400001,0.5,A,32.0,0.0,1499,20.0,0,0,15,0,67.0
SHA202400064,2024-03-19,700001,500001,2.0,C,70.0,0.0,799,20.0,0,0,15,0,105.0
SHA202400065,2024-03-01,380001,400001,0.5,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400066,2024-03-20,400001,560001,0.5,B,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400067,2024-03-05,400001,560001,2.0,B,59.0,0.0,999,20.0,0,0,15,0,94.0
SHA202400068,2024-03-02,380001,400001,1.2,A,44.0,0.0,1499,20.0,0,0,15,0,79.0
SHA202400069,2024-03-19,411001,400001,1.5,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400070,2024-03-25,110001,400001,1.0,B,41.0,0.0,499,20.0,0,0,15,0,76.0
SHA202400071,2024-03-01,380001,400001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400072,2024-03-26,380001,400001,0.75,A,36.0,0.0,999,20.0,0,0,15,0,71.0
SHA202400073,2024-03-21,400001,560001,0.5,B,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400074,2024-03-09,380001,400001,1.2,A,44.0,0.0,799,20.0,0,0,15,0,79.0
SHA202400075,2024-03-18,411001,400001,0.5,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400076,2024-03-23,560001,600001,1.2,B,50.0,0.0,1499,20.0,0,0,15,0,85.0
SHA202400077,2024-03-23,110001,302001,2.0,A,52.0,0.0,1499,20.0,0,0,15,0,87.0
SHA202400078,2024-03-18,380001,400001,1.2,A,44.0,0.0,1499,44.97,0,0,15,0,103.97
SHA202400079,2024-03-03,380001,400001,0.2,A,32.0,0.0,1499,20.0,0,0,15,0,67.0
SHA202400080,2024-03-08,400001,560001,0.3,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400081,2024-03-21,380001,400001,1.5,A,44.0,0.0,799,20.0,0,0,15,0,79.0
SHA202400082,2024-03-01,110001,400001,2.0,B,59.0,0.0,499,20.0,0,0,15,0,94.0
SHA202400083,2024-03-06,400001,110001,0.75,B,41.0,0.0,799,20.0,0,0,15,0,76.0
SHA202400084,2024-03-09,400001,110001,0.5,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400085,2024-03-01,380001,400001,0.75,A,36.0,0.0,799,20.0,0,0,15,0,71.0
SHA202400086,2024-03-09,700001,500001,1.2,C,59.0,0.0,1499,20.0,0,0,15,0,94.0
SHA202400087,2024-03-06,380001,400001,0.2,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400088,2024-03-26,560001,600001,1.2,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400089,2024-03-16,411001,400001,1.5,A,44.0,0.0,799,20.0,0,0,15,0,79.0
SHA202400090,2024-03-04,411001,400001,0.2,A,32.0,0.0,499,20.0,0,0,15,0,67.0
SHA202400091,2024-03-11,110001,302001,0.75,A,36.0,0.0,1499,20.0,0,0,15,0,71.0
SHA202400092,2024-03-03,560001,600001,0.75,B,41.0,75.0,0,0.0,0,0,15,0,131.0
SHA202400093,2024-03-12,110001,400001,2.0,B,59.0,0.0,0,0.0,0,0,15,0,74.0
SHA202400094,2024-03-07,110001,302001,2.0,A,52.0,0.0,999,20.0,0,0,15,0,87.0
SHA202400095,2024-03-27,110001,302001,0.75,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400096,2024-03-22,400001,560001,0.3,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400097,2024-03-11,411001,400001,1.2,A,44.0,0.0,799,20.0,0,0,15,0,79.0
SHA202400098,2024-03-08,110001,400001,1.0,B,41.0,0.0,499,20.0,0,0,15,0,76.0
SHA202400099,2024-03-02,380001,400001,2.0,A,52.0,0.0,799,20.0,0,0,15,0,87.0
SHA202400100,2024-03-23,110001,400001,2.0,B,59.0,0.0,0,0.0,0,0,15,0,74.0
SHA202400101,2024-03-07,400001,110001,0.2,B,36.0,0.0,999,20.0,0,0,15,0,71.0
SHA202400102,2024-03-18,700001,500001,1.0,C,48.0,0.0,0,0.0,0,0,15,0,63.0
SHA202400103,2024-03-06,411001,400001,1.2,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400104,2024-03-28,380001,400001,1.2,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400105,2024-03-22,110001,400001,0.5,B,36.0,0.0,799,20.0,0,0,15,50,121.0
SHA202400106,2024-03-13,110001,302001,1.5,A,44.0,0.0,1499,20.0,0,0,15,0,79.0
SHA202400107,2024-03-14,411001,400001,0.2,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400108,2024-03-18,411001,400001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400109,2024-03-07,400001,560001,0.5,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400110,2024-03-12,411001,400001,1.2,A,44.0,0.0,0,0.0,0,0,15,0,59.0
SHA202400111,2024-03-12,400001,110001,1.5,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400112,2024-03-22,560001,600001,1.2,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400113,2024-03-10,400001,560001,1.5,B,50.0,0.0,799,20.0,0,0,15,0,85.0
SHA202400114,2024-03-20,700001,500001,1.5,C,59.0,0.0,999,20.0,0,0,15,0,94.0
SHA202400115,2024-03-08,400001,560001,0.5,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400116,2024-03-15,560001,600001,1.5,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400117,2024-03-01,110001,400001,0.5,B,36.0,0.0,1499,20.0,0,0,15,0,71.0
SHA202400118,2024-03-13,400001,560001,0.75,B,41.0,0.0,0,0.0,0,0,15,0,56.0
SHA202400119,2024-03-25,411001,400001,0.2,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400120,2024-03-21,560001,600001,0.5,B,36.0,0.0,0,35.0,0,0,15,0,86.0
SHA202400121,2024-03-21,110001,302001,1.0,A,36.0,0.0,499,20.0,0,0,15,0,71.0
SHA202400122,2024-03-12,400001,110001,0.2,B,36.0,0.0,999,20.0,0,0,15,0,71.0
SHA202400123,2024-03-23,560001,600001,2.0,B,59.0,0.0,0,0.0,0,0,15,0,74.0
SHA202400124,2024-03-16,380001,400001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400125,2024-03-14,411001,400001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400126,2024-03-27,400001,110001,0.2,B,36.0,0.0,799,20.0,0,0,15,0,71.0
SHA202400127,2024-03-16,411001,400001,0.2,A,32.0,0.0,999,20.0,0,0,15,0,67.0
SHA202400128,2024-03-08,380001,400001,1.0,A,36.0,0.0,799,20.0,0,0,15,0,71.0
SHA202400129,2024-03-08,380001,400001,1.5,A,44.0,0.0,499,20.0,0,0,15,0,79.0
SHA202400130,2024-03-14,110001,302001,1.0,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400131,2024-03-28,560001,600001,1.5,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400132,2024-03-15,560001,600001,0.3,B,36.0,0.0,999,20.0,0,0,15,0,71.0
SHA202400133,2024-03-01,411001,400001,0.75,A,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400134,2024-03-09,110001,400001,0.3,B,36.0,0.0,0,0.0,0,0,15,0,51.0
SHA202400135,2024-03-01,110001,302001,0.3,A,32.0,0.0,0,0.0,0,0,15,0,47.0
SHA202400136,2024-03-26,380001,400001,1.0,A,36.0,0.0,1499,20.0,0,0,15,0,71.0
SHA202400137,2024-03-27,400001,110001,1.2,B,50.0,0.0,0,0.0,0,0,15,0,65.0
SHA202400138,2024-03-16,380001,400001,0.3,A,32.0,0.0,799,20.0,0,0,15,0,67.0
SHA202400139,2024-03-25,380001,400001,0.2,A,32.0,0.0,0,0.0,0,0,15,0,47.0
