AWB_Number,Date,Actual_Weight_Kg,Length_cm,Width_cm,Height_cm,Dim_Weight_Kg
SHA202400001,2024-03-13,0.75,20,15,15,0.9
SHA202400002,2024-03-20,0.5,30,15,10,0.9
SHA202400003,2024-03-20,0.75,20,15,8,0.48
SHA202400004,2024-03-04,1.2,20,20,15,1.2
SHA202400005,2024-03-01,1.5,30,8,5,0.24
SHA202400006,2024-03-22,0.5,10,10,10,0.2
SHA202400007,2024-03-09,1.0,15,8,10,0.24
SHA202400008,2024-03-27,0.2,25,8,8,0.32
SHA202400009,2024-03-26,0.75,20,8,15,0.48
SHA202400010,2024-03-22,1.5,20,8,5,0.16
SHA202400011,2024-03-28,0.75,25,10,10,0.5
SHA202400012,2024-03-15,0.75,15,8,8,0.19
SHA202400013,2024-03-02,0.3,25,15,10,0.75
SHA202400014,2024-03-28,0.5,20,8,10,0.32
SHA202400015,2024-03-05,0.5,20,8,10,0.32
SHA202400016,2024-03-26,1.2,20,10,8,0.32
SHA202400017,2024-03-18,0.5,30,20,5,0.6
SHA202400018,2024-03-22,0.75,20,15,10,0.6
SHA202400019,2024-03-20,0.75,30,20,5,0.6
SHA202400020,2024-03-08,1.2,30,10,5,0.3
SHA202400021,2024-03-04,1.5,25,15,10,0.75
SHA202400022,2024-03-26,1.2,30,20,15,1.8
SHA202400023,2024-03-07,1.0,20,8,5,0.16
SHA202400024,2024-03-03,0.2,15,10,15,0.45
SHA202400025,2024-03-27,0.75,25,8,8,0.32
SHA202400026,2024-03-11,2.0,10,8,5,0.08
SHA202400027,2024-03-09,0.5,30,8,8,0.38
SHA202400028,2024-03-15,1.5,25,20,10,1.0
SHA202400029,2024-03-04,1.5,30,8,5,0.24
SHA202400030,2024-03-17,0.3,10,15,10,0.3
SHA202400031,2024-03-15,1.0,25,20,5,0.5
SHA202400032,2024-03-08,0.5,15,20,10,0.6
SHA202400033,2024-03-26,1.0,20,8,8,0.26
SHA202400034,2024-03-19,0.2,30,20,5,0.6
SHA202400035,2024-03-24,0.75,20,10,15,0.6
SHA202400036,2024-03-08,0.5,30,15,8,0.72
SHA202400037,2024-03-26,0.5,30,8,15,0.72
SHA202400038,2024-03-03,1.0,20,8,8,0.26
SHA202400039,2024-03-05,1.2,15,8,10,0.24
SHA202400040,2024-03-16,0.75,25,15,10,0.75
SHA202400041,2024-03-11,1.2,25,10,5,0.25
SHA202400042,2024-03-08,0.75,25,15,10,0.75
SHA202400043,2024-03-15,1.2,25,15,10,0.75
SHA202400044,2024-03-21,0.3,30,8,10,0.48
SHA202400045,2024-03-24,0.75,10,8,5,0.08
SHA202400046,2024-03-19,1.5,15,8,10,0.24
SHA202400047,2024-03-13,0.5,15,15,8,0.36
SHA202400048,2024-03-12,0.3,30,8,8,0.38
SHA202400049,2024-03-06,0.5,15,10,15,0.45
SHA202400050,2024-03-25,0.2,25,10,5,0.25
SHA202400051,2024-03-02,1.2,15,15,15,0.68
SHA202400052,2024-03-02,2.0,20,8,10,0.32
SHA202400053,2024-03-21,0.5,25,15,5,0.38
SHA202400054,2024-03-17,1.5,25,15,10,0.75
SHA202400055,2024-03-01,2.0,30,10,15,0.9
SHA202400056,2024-03-17,0.75,20,10,8,0.32
SHA202400057,2024-03-20,0.5,10,10,15,0.3
SHA202400058,2024-03-22,0.3,25,20,8,0.8
SHA202400059,2024-03-08,1.5,10,10,8,0.16
SHA202400060,2024-03-05,0.2,10,10,10,0.2
SHA202400061,2024-03-19,1.5,10,15,5,0.15
SHA202400062,2024-03-16,2.0,25,10,8,0.4
